300;1000;10
600;2000;20
900;3000;30
1200;3900;
1200;4000;40
1500;4900;
1500;5000;50
1800;5900;
1850;6000;60
2100;6900;
2150;7000;70
2400;7900;
2450;8000;80
2700;8900;
2750;9000;90
3000;9800;
3050;10000;100
3300;10800;
3350;11000;110
3600;11800;
3650;12000;120
3900;12800;
3950;13000;130
4200;13800;
4250;14000;140
4500;14800;
4550;15000;150
4800;15700;
4900;16000;160
5100;16700;
5200;17000;170
5400;17700;
5500;18000;180
5700;18700;
5800;19000;190
6000;19700;
6100;20000;200
6300;20700;
6400;21000;210
6600;21700;
6700;22000;220
6900;22600;
7000;23000;230
7200;23600;
7300;24000;240
7500;24600;
7600;25000;250
7800;25600;
7900;26000;260
8100;26600;
8250;27000;270
8400;27600;
8550;28000;280
8600;28200;
8850;29000;290
8900;29100;
9100;29900;
9150;30000;300
9200;30100;
9450;31000;310
9500;31100;
9600;31500;
9750;32000;320
9800;32100;
10050;33000;330
10100;33100;
10350;34000;340
10400;34100;
10600;34800;
10650;35000;350
10700;35100;
10950;36000;360
11000;36100;
11100;36400;
11300;37000;370
11300;37100;
11600;38000;380
11600;38100;
11900;39000;390
11900;39100;
12100;39700;
12200;40000;400
12200;40100;
12500;41000;410
13100;43000;430
13700;44900;
13700;45000;450
14100;46300;
14300;46900;
14350;47000;470
14900;48900;
14950;49000;490
15100;49500;
15550;51000;510
